item_type,task_item,task_type,task_scope,Ref_type,Hyperlink,embed_code,task_name,task_description_gen,task_description_original,task_description_ideas,task_description_first_step,time_est,Area
New thing,Accessory,Re-create this,Small,Image,https://www.pinterest.com/pin/68749962962/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=68749962962' height='463' width='236' frameborder='0' scrolling='no' ></iframe>,Buttons chain,Pocket chain whimsyfied by adding in buttons.,N/A,- Try different objects,Connect 3 chain links.,Under 1 hour,Accessory
Alteration,Clothing,Re-create this,Medium,Image,https://www.pinterest.com/pin/294774738123396165/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=294774738123396165' height='520' width='236' frameborder='0' scrolling='no' ></iframe>,Beaded cityscape,A way add something interesting to a boring item.,N/A,- Different layers: above and under the ground,Draw and bead a small building first.,4-5 hours,Element
Alteration,Clothing,Try this,Small,Image,https://www.pinterest.com/pin/578782989593240346/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=578782989593240346' height='456' width='236' frameborder='0' scrolling='no' ></iframe>,Beaded body shape,Beaded body shape on top of a top.,N/A,- This on see-through mesh,Draw and bead a hand.,3 hours,Element
Alteration,Clothing,Try this,Small,Image,https://www.pinterest.com/pin/289778557288976168/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=289778557288976168' height='364' width='236' frameborder='0' scrolling='no' ></iframe>,Layered sleeve,Layer a bulky hoodie with a second layer and make hole so the 2nd layer can be seen.,N/A,- Make the bottom layer a mesh- Do with pants- Do with the middle body part.,Rip off and open a sleeve from a selected item and draw another sleeve 2-3 inches smaller.,2-3 hours,Element
New thing,Clothing,Re-create this,Medium,Image,https://www.pinterest.com/pin/73042825199859768/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=73042825199859768' height='415' width='236' frameborder='0' scrolling='no' ></iframe>,Mesh pants,Can be done with any basic item pattern.,N/A,- Try different colors for each leg,Cut parts using the basic pants pattern.,3-4 hours,Item
Alteration,Clothing,Re-create this,Medium,Image,https://www.pinterest.com/pin/1061160730966065987/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=1061160730966065987' height='415' width='236' frameborder='0' scrolling='no' ></iframe>,Spider Man sweather,Combine several sweathers to create a Spider-man like suit sweather.,N/A,- Try with different superhero costumes,Cut out and replace (under) side panels.,3-5 hours,Item
New thing,Clothing,Re-create this,Medium,Image,https://www.pinterest.com/pin/692639617720013421/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=692639617720013421' height='420' width='236' frameborder='0' scrolling='no' ></iframe>,Rib-cage jacket,Easy to trace the baseline shape.,N/A,- With a shirt with embroidered organs,Take my measurement; find the right drawing; resize (account for space for puffing) and print.,5+ hours,Item
New thing,Accessory,Try this,Small,Image,https://www.pinterest.com/pin/534450680802671955/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=534450680802671955' height='552' width='236' frameborder='0' scrolling='no' ></iframe>,Gloves covered in blood droplets,Mesh gloves (close to the skintone) covered in red beads immitating blood droplets.,N/A,- More coverage in beads,Make the gloves out of a standard pattern,3-5 hours,Item
Alteration,Clothing,Try this,Medium,Image,https://www.pinterest.com/pin/662732901459768487/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=662732901459768487' height='452' width='236' frameborder='0' scrolling='no' ></iframe>,Eye on a shirt,Mend a shirt/pants or whimsify it by adding an eye looking at you.,N/A,- Multiple eyes looking at the same direction,Embroider an iris first,1-2 hours,Texture
New thing,Clothing,Try this,Small,Video,https://www.pinterest.com/pin/53058101854787587/,<iframe src='https://assets.pinterest.com/ext/embed.html?id=53058101854787587' height='520' width='236' frameborder='0' scrolling='no' ></iframe>,Floating elements,Making any elements float with lace,N/A,- Frame & covers for body parts,Use a standard top pattern.,2-3 hours,Texture
