Name,Ref_type,Hyperlink/Img name,file_link,Type,Garment,Scope
Nice seems at folds,Video,https://www.youtube.com/shorts/3y7GHONOTdw,,Seems,Any,Small
"Sashiko, stitch 1",Video,https://www.youtube.com/shorts/04xpqMntmKk,,Mending,Any,Small
"Sashiko, stitch 2",Video,https://www.youtube.com/shorts/tOerSfFngS8,,Mending,Any,Small
Sewing-in invisible zipper,Video,https://www.pinterest.com/pin/563018699666386/,https://v1.pinimg.com/videos/iht/hls/75/e9/3f/75e93f801beb3712ab51b2e1632e051c.m3u8,,Any,Small
Draft pattern for a basic shirt,Video,https://www.youtube.com/watch?v=WDFF6jT43-M,,Pattern Drawing,Shirt,Medium
Draft basic men bodice,Video,https://www.youtube.com/watch?v=A7K7fKaMTMU,,Pattern Drawing,Bodice,Medium
Draft basic sleeve block,Video,https://www.youtube.com/watch?v=Qz_nj_bhf-c,,Pattern Drawing,Sleeve,Small
Draft a shirt pattern,Video,https://www.youtube.com/watch?v=WDFF6jT43-M,,Pattern Drawing,Shirt,Medium
Draft a shirt pattern,Video,https://www.youtube.com/watch?v=5dMsWfonm5c,,Pattern Drawing,Shirt,Medium
Draft a basic pants block,Video,https://www.youtube.com/watch?v=_CU9f13PhPo,,Pattern Drawing,Pants,Medium
Draft a t-shirt block,Video,https://www.youtube.com/watch?v=rqkNu1Bbw0s,,Pattern Drawing,T-shirt,Medium
Draft a pant pattern,Video,https://www.youtube.com/watch?v=C6uCc0o0daY,,Pattern Drawing,Pants,Medium
Draft a pant pattern,Video,https://www.youtube.com/watch?v=59btFjK3rx0&t=6s,,Pattern Drawing,Pants,Medium
